,Name,Year,Duration,Rated,Score,Metascore
201,. Force of Nature: The Dry 2,2024,2h,R,6.0,58
202,. The Black Phone,2021,1h 43m,R,6.9,65
203,. Bad Boys for Life,2020,2h 4m,R,6.5,59
204,. Django Unchained,2012,2h 45m,R,8.5,81
205,. Wicked Little Letters,2023,1h 40m,R,7.0,58
206,. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0,94
207,. Ex Machina,2014,1h 48m,R,7.7,78
208,. Hacksaw Ridge,2016,2h 19m,R,8.1,71
209,. Joker,2019,2h 2m,R,8.4,59
210,. Get Out,2017,1h 44m,R,7.8,85
211,. One Life,2023,1h 49m,PG,7.5,69
212,. The Beach Boys,2024,1h 53m,PG-13,7.1,63
213,. In the Land of Saints and Sinners,2023,1h 46m,R,6.3,60
214,. Guardians of the Galaxy Vol. 3,2023,2h 30m,PG-13,7.9,64
215,. The Equalizer,2014,2h 12m,R,7.2,57
216,. Terrifier,2016,1h 25m,Unrated,5.6,0
217,. A Quiet Place,2018,1h 30m,PG-13,7.5,82
218,. Eileen,2023,1h 37m,R,6.0,72
219,. The Dark Knight Rises,2012,2h 44m,PG-13,8.4,78
220,. Reptile,2023,2h 14m,R,6.8,52
221,. John Wick,2014,1h 41m,R,7.4,68
222,. Arrival,2016,1h 56m,PG-13,7.9,81
223,. Kill Bill: Vol. 1,2003,1h 51m,R,8.2,69
224,. American Psycho,2000,1h 42m,R,7.6,64
225,. Dungeons & Dragons: Honor Among Thieves,2023,2h 14m,PG-13,7.2,72
226,. Nope,2022,2h 10m,R,6.8,77
227,. Garfield: The Movie,2004,1h 20m,PG,5.0,27
228,. The Florida Project,2017,1h 51m,R,7.6,92
229,. Ready Player One,2018,2h 20m,PG-13,7.4,64
230,. Mandy,2018,2h 1m,Not Rated,6.5,83
231,. The Hangover,2009,1h 40m,R,7.7,73
232,. Memento,2000,1h 53m,R,8.4,83
233,. The Family Plan,2023,1h 58m,PG-13,6.3,39
234,. Twilight,2008,2h 2m,PG-13,5.3,56
235,. Avatar: The Way of Water,2022,3h 12m,PG-13,7.5,67
236,. Priscilla,2023,1h 53m,R,6.5,79
237,. A Serbian Film,2010,1h 44m,NC-17,5.0,0
238,. Cars,2006,1h 56m,G,7.2,73
239,. Thanksgiving,2023,1h 46m,R,6.3,63
240,. Bottoms,2023,1h 31m,R,6.7,74
241,. Spirited Away,2001,2h 5m,PG,8.6,96
242,. Gerald's Game,2017,1h 43m,TV-MA,6.5,77
243,. Teenage Mutant Ninja Turtles,2014,1h 41m,PG-13,5.8,31
244,. Prometheus,2012,2h 4m,R,7.0,64
245,. Transformers: Rise of the Beasts,2023,2h 7m,PG-13,6.0,42
246,. Firebrand,2023,2h,No,6.5,61
247,. X-Men,2000,1h 44m,PG-13,7.3,64
248,. Free Guy,2021,1h 55m,PG-13,7.1,62
249,. Drive,2011,1h 40m,R,7.8,79
250,. Red Rocket,2021,2h 10m,R,7.1,76
251,. Sicario,2015,2h 1m,R,7.7,82
252,. Lisa Frankenstein,2024,1h 41m,PG-13,6.1,47
253,. Inside Man,2006,2h 9m,R,7.6,76
254,. Avengers: Infinity War,2018,2h 29m,PG-13,8.4,68
255,. Transformers,2007,2h 24m,PG-13,7.0,61
256,. Sleeping Dogs,2024,1h 50m,R,6.1,43
257,. The Peanut Butter Falcon,2019,1h 37m,PG-13,7.6,70
258,. Spider-Man,2002,2h 1m,PG-13,7.4,73
259,. Mean Girls,2004,1h 37m,PG-13,7.1,66
260,. Little Women,2019,2h 15m,PG,7.8,91
261,". Crazy, Stupid, Love.",2011,1h 58m,PG-13,7.4,68
262,. Black Hawk Down,2001,2h 24m,R,7.7,74
263,. The Suicide Squad,2021,2h 12m,R,7.2,72
264,. Fast X,2023,2h 21m,PG-13,5.8,56
265,. Zero Dark Thirty,2012,2h 37m,R,7.4,95
266,. Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,89
267,. Dunkirk,2017,1h 46m,PG-13,7.8,94
268,. The Hateful Eight,2015,2h 48m,R,7.8,68
269,. To Catch a Killer,2023,1h 59m,R,6.6,43
270,. X-Men Origins: Wolverine,2009,1h 47m,PG-13,6.5,40
271,. Lift,2024,1h 47m,PG-13,5.5,40
272,. La La Land,2016,2h 8m,PG-13,8.0,94
273,. Indiana Jones and the Dial of Destiny,2023,2h 34m,PG-13,6.5,58
274,. Iron Man,2008,2h 6m,PG-13,7.9,79
275,. Ice Age: Collision Course,2016,1h 34m,PG,5.7,34
276,. The Creator,2023,2h 13m,PG-13,6.7,63
277,. Fair Play,2023,1h 53m,R,6.4,73
278,. The Great Gatsby,2013,2h 23m,PG-13,7.2,55
279,. Guy Ritchie's the Covenant,2023,2h 3m,R,7.5,63
280,. Love & Other Drugs,2010,1h 52m,R,6.7,55
281,. Smile,2022,1h 55m,R,6.5,68
282,. Donnie Darko,2001,1h 53m,R,8.0,88
283,. The Lobster,2015,1h 59m,R,7.1,82
284,. The Big Short,2015,2h 10m,R,7.8,81
285,. Gran Turismo,2023,2h 14m,PG-13,7.1,48
286,. The Devil Wears Prada,2006,1h 49m,PG-13,6.9,62
287,. 1917,2019,1h 59m,R,8.2,78
288,. Pirates of the Caribbean: Dead Men Tell No Tales,2017,2h 9m,PG-13,6.5,39
289,. The Maze Runner,2014,1h 53m,PG-13,6.8,57
290,. Call Me by Your Name,2017,2h 12m,R,7.8,94
291,. The Incredibles,2004,1h 55m,PG,8.0,90
292,. Pitch Perfect,2012,1h 52m,PG-13,7.1,66
293,. Asteroid City,2023,1h 45m,PG-13,6.5,76
294,. The Flash,2023,2h 24m,PG-13,6.7,55
295,. The Dead Don't Die,2019,1h 44m,R,5.5,53
296,. The Greatest Showman,2017,1h 45m,PG,7.5,48
297,. Terrifier 2,2022,2h 18m,Not Rated,6.1,59
298,. The Little Mermaid,2023,2h 15m,PG,7.2,59
299,. All Good Things,2010,1h 41m,R,6.3,57
300,. Blended,2014,1h 57m,PG-13,6.5,31
301,. Almost Famous,2000,2h 2m,R,7.9,90
302,. Thor: Love and Thunder,2022,1h 58m,PG-13,6.2,57
303,. Superbad,2007,1h 53m,R,7.6,76
304,. The Place Beyond the Pines,2012,2h 20m,R,7.3,68
305,. The Imitation Game,2014,1h 54m,PG-13,8.0,71
306,. She Came to Me,2023,1h 42m,R,6.0,53
307,. Drive-Away Dolls,2024,1h 24m,R,5.5,56
308,". New York, I Love You",2008,1h 43m,R,6.2,49
309,. X-Men: First Class,2011,2h 11m,PG-13,7.7,65
310,. After,2019,1h 45m,PG-13,5.3,30
311,. The Martian,2015,2h 24m,PG-13,8.0,80
312,. Hidden Figures,2016,2h 7m,PG,7.8,74
313,. Blue Is the Warmest Colour,2013,3h,NC-17,7.7,90
314,. Catch Me If You Can,2002,2h 21m,PG-13,8.1,75
315,. The Clovehitch Killer,2018,1h 49m,Unrated,6.5,59
316,. 300,2006,1h 57m,R,7.6,52
317,. Promising Young Woman,2020,1h 53m,R,7.5,72
318,. Teenage Mutant Ninja Turtles: Out of the Shadows,2016,1h 52m,PG-13,5.9,40
319,. Men,2022,1h 40m,R,6.1,65
320,. X-Men: Days of Future Past,2014,2h 12m,PG-13,7.9,75
321,. 28 Weeks Later,2007,1h 40m,R,6.9,78
322,. Shrek,2001,1h 30m,PG,7.9,84
323,. Jack Reacher,2012,2h 10m,PG-13,7.0,50
324,. Trolls Band Together,2023,1h 31m,PG,6.0,53
325,. Harry Potter and the Goblet of Fire,2005,2h 37m,PG-13,7.7,81
326,. The Conjuring,2013,1h 52m,R,7.5,68
327,. Batman Begins,2005,2h 20m,PG-13,8.2,70
328,. Unsung Hero,2024,1h 53m,PG,7.8,46
329,. The Hunger Games: Catching Fire,2013,2h 26m,PG-13,7.5,76
330,. Close,2022,1h 44m,PG-13,7.8,81
331,. Martyrs,2008,1h 39m,R,7.0,0
332,. Love Actually,2003,2h 15m,R,7.6,55
333,. Black Swan,2010,1h 48m,R,8.0,79
334,. Ocean's Eleven,2001,1h 56m,PG-13,7.7,74
335,. Snatch,2000,1h 42m,R,8.2,55
336,. Guardians of the Galaxy,2014,2h 1m,PG-13,8.0,76
337,. Lost in Translation,2003,1h 42m,R,7.7,91
338,. Divergent,2014,2h 19m,PG-13,6.6,48
339,. X-Men: Apocalypse,2016,2h 24m,PG-13,6.9,52
340,. The Great Wall,2016,1h 43m,PG-13,5.9,42
341,. Fury,2014,2h 14m,R,7.6,64
342,. Doctor Strange in the Multiverse of Madness,2022,2h 6m,PG-13,6.9,60
343,. Ready or Not,2019,1h 35m,R,6.9,64
344,. Wrath of Man,2021,1h 59m,R,7.1,57
345,. Jurassic World,2015,2h 4m,PG-13,6.9,59
346,. The Beast,2023,2h 26m,No,6.8,80
347,. Sound of Freedom,2023,2h 11m,PG-13,7.6,36
348,. Monster,2023,2h 7m,PG-13,7.8,79
349,. Coherence,2013,1h 29m,Not Rated,7.2,65
350,. The Accountant,2016,2h 8m,R,7.3,51
351,. Ghosted,2023,1h 56m,PG-13,5.8,34
352,. Spy Kids,2001,1h 28m,PG,5.6,71
